Training begin
Epoch: 1, Avg Train Loss: 19.065696566968704, Avg Test Loss: 6.361043457757859, LR: [0.0003], Time taken: 446.66912034200504
Epoch: 2, Avg Train Loss: 6.120844352667656, Avg Test Loss: 5.677680324372791, LR: [0.0003], Time taken: 446.1732535287738
Epoch: 3, Avg Train Loss: 5.921886709127514, Avg Test Loss: 6.048290257226853, LR: [0.0003], Time taken: 446.3053373810835
Epoch: 4, Avg Train Loss: 5.585804190583157, Avg Test Loss: 4.990900396165394, LR: [0.0003], Time taken: 446.82227424997836
Epoch: 5, Avg Train Loss: 5.1044254657873696, Avg Test Loss: 4.611465801511492, LR: [0.0003], Time taken: 447.6019291370176
Epoch: 6, Avg Train Loss: 4.8905497423486, Avg Test Loss: 4.478086657751174, LR: [0.0003], Time taken: 448.0813585650176
Epoch: 7, Avg Train Loss: 4.59840323932826, Avg Test Loss: 4.706624952952067, LR: [0.0003], Time taken: 448.4523226520978
Epoch: 8, Avg Train Loss: 4.486833681198556, Avg Test Loss: 4.397110446294149, LR: [0.0003], Time taken: 448.66153785586357
Epoch: 9, Avg Train Loss: 4.444445481219438, Avg Test Loss: 4.284462978726341, LR: [0.0003], Time taken: 448.79861766984686
Epoch: 10, Avg Train Loss: 4.352476888201215, Avg Test Loss: 4.308014038630894, LR: [0.0003], Time taken: 448.61792644439265
Epoch: 11, Avg Train Loss: 4.224253646672286, Avg Test Loss: 4.062790779840379, LR: [0.0003], Time taken: 448.43224239815027
Epoch: 12, Avg Train Loss: 4.179072435003691, Avg Test Loss: 4.112629620234172, LR: [0.0003], Time taken: 448.59767653793097
Epoch: 13, Avg Train Loss: 4.105038040129334, Avg Test Loss: 3.9806420258113318, LR: [0.0003], Time taken: 448.2748887948692
Epoch: 14, Avg Train Loss: 4.094574277122023, Avg Test Loss: 4.001755049115135, LR: [0.0003], Time taken: 448.26977937994525
Epoch: 15, Avg Train Loss: 4.031118244030321, Avg Test Loss: 3.9788230282919748, LR: [0.0003], Time taken: 448.2116112271324
Epoch: 16, Avg Train Loss: 4.005777288881502, Avg Test Loss: 4.143122831980388, LR: [0.0003], Time taken: 448.5163982771337
Epoch: 17, Avg Train Loss: 3.9376853954653614, Avg Test Loss: 3.8995474383944555, LR: [0.0003], Time taken: 448.6508762668818
Epoch: 18, Avg Train Loss: 3.941421672750634, Avg Test Loss: 4.005145710990543, LR: [0.0003], Time taken: 448.69384883902967
Epoch: 19, Avg Train Loss: 3.865798170135716, Avg Test Loss: 3.818404547373454, LR: [0.0003], Time taken: 448.7256724499166
Epoch: 20, Avg Train Loss: 3.845155868334371, Avg Test Loss: 3.7883158683776856, LR: [0.0003], Time taken: 448.87885754415765
Epoch: 21, Avg Train Loss: 3.816386823038077, Avg Test Loss: 3.81604821795509, LR: [0.0003], Time taken: 448.6843708520755
Epoch: 22, Avg Train Loss: 3.7831426294263752, Avg Test Loss: 3.7195351668766565, LR: [0.0003], Time taken: 448.68557362118736
Epoch: 23, Avg Train Loss: 3.744618911834017, Avg Test Loss: 4.074153925123669, LR: [0.0003], Time taken: 448.37034148396924
Epoch: 24, Avg Train Loss: 3.702346100201029, Avg Test Loss: 3.8164135138193767, LR: [0.0003], Time taken: 448.34480036003515
Epoch: 25, Avg Train Loss: 3.6571086135851765, Avg Test Loss: 3.700880175545102, LR: [0.0003], Time taken: 448.4260111716576
Epoch: 26, Avg Train Loss: 3.637887970611218, Avg Test Loss: 4.228670217877343, LR: [0.0003], Time taken: 448.2077940888703
Epoch: 27, Avg Train Loss: 3.6269766483040002, Avg Test Loss: 3.860306183497111, LR: [0.0003], Time taken: 447.9223149246536
Epoch: 28, Avg Train Loss: 3.5744934710195713, Avg Test Loss: 3.573353451774234, LR: [0.0003], Time taken: 448.25833569979295
Epoch: 29, Avg Train Loss: 3.5905062536215206, Avg Test Loss: 3.538695562453497, LR: [0.0003], Time taken: 448.25963289896026
Epoch: 30, Avg Train Loss: 3.544558703668702, Avg Test Loss: 3.4977603231157577, LR: [0.0003], Time taken: 448.72881357977167
Epoch: 31, Avg Train Loss: 3.5129839197870307, Avg Test Loss: 3.430643281482515, LR: [0.0003], Time taken: 448.46418394101784
Epoch: 32, Avg Train Loss: 3.513415754746383, Avg Test Loss: 3.614564666293916, LR: [0.0003], Time taken: 448.77193468715996
Epoch: 33, Avg Train Loss: 3.495016659466629, Avg Test Loss: 3.705585920243036, LR: [0.0003], Time taken: 448.6463855030015
Epoch: 34, Avg Train Loss: 3.503697375095682, Avg Test Loss: 4.046027178991409, LR: [0.0003], Time taken: 448.5172744230367
Epoch: 35, Avg Train Loss: 3.4340329454852982, Avg Test Loss: 3.398319707598005, LR: [0.0003], Time taken: 448.58378218114376
Epoch: 36, Avg Train Loss: 3.423028478241989, Avg Test Loss: 3.444754684539068, LR: [0.0003], Time taken: 448.6525184190832
Epoch: 37, Avg Train Loss: 3.4056322636367238, Avg Test Loss: 3.5106084937141055, LR: [0.0003], Time taken: 448.0713129392825
Epoch: 38, Avg Train Loss: 3.415268498469265, Avg Test Loss: 3.705425285157703, LR: [0.0003], Time taken: 448.2263038563542
Epoch: 39, Avg Train Loss: 3.4094670667077644, Avg Test Loss: 4.041966029575893, LR: [0.0003], Time taken: 448.05208013532683
Epoch: 40, Avg Train Loss: 3.3808158068615755, Avg Test Loss: 3.4174451373872303, LR: [0.0003], Time taken: 448.0136112947948
Epoch: 41, Avg Train Loss: 3.3644755950602936, Avg Test Loss: 3.783745005017235, LR: [0.0003], Time taken: 448.0204023788683
Epoch: 42, Avg Train Loss: 3.3418121804932674, Avg Test Loss: 3.3548248790559314, LR: [0.0003], Time taken: 448.0821650279686
Epoch: 43, Avg Train Loss: 3.3143486528745822, Avg Test Loss: 3.7588862532661076, LR: [0.0003], Time taken: 448.21354432823136
Epoch: 44, Avg Train Loss: 3.329758644529878, Avg Test Loss: 3.3850968633379255, LR: [0.0003], Time taken: 448.2598012830131
Epoch: 45, Avg Train Loss: 3.2977758214103923, Avg Test Loss: 3.345922138577416, LR: [0.0003], Time taken: 448.37014914723113
Epoch: 46, Avg Train Loss: 3.272250653590855, Avg Test Loss: 4.32481209891183, LR: [0.0003], Time taken: 448.6223295587115
Epoch: 47, Avg Train Loss: 3.253917543119389, Avg Test Loss: 3.630471038818359, LR: [0.0003], Time taken: 448.2093846988864
Epoch: 48, Avg Train Loss: 3.2337586271439895, Avg Test Loss: 3.4413660548982166, LR: [0.0003], Time taken: 448.48839917592704
Epoch: 49, Avg Train Loss: 3.230256887517113, Avg Test Loss: 4.285861819131034, LR: [0.0003], Time taken: 448.2096885726787
Epoch: 50, Avg Train Loss: 3.23994278971657, Avg Test Loss: 3.2636115199043636, LR: [0.0003], Time taken: 447.96785941021517
Epoch: 51, Avg Train Loss: 3.227732302284411, Avg Test Loss: 3.2833385240463984, LR: [0.0003], Time taken: 448.1828548917547
Epoch: 52, Avg Train Loss: 3.2206545561046322, Avg Test Loss: 3.316689721743266, LR: [0.0003], Time taken: 447.8687115269713
Epoch: 53, Avg Train Loss: 3.182224932367087, Avg Test Loss: 3.5542794704437255, LR: [0.0003], Time taken: 447.98325517913327
Epoch: 54, Avg Train Loss: 3.2048034296038606, Avg Test Loss: 3.3395059176853725, LR: [0.0003], Time taken: 448.2054197671823
Epoch: 55, Avg Train Loss: 3.1801270897738383, Avg Test Loss: 3.469057546343122, LR: [0.0003], Time taken: 448.1011138642207
Epoch: 56, Avg Train Loss: 3.1383369434586093, Avg Test Loss: 3.745210872377668, LR: [0.0003], Time taken: 447.73500630492344
Epoch: 57, Avg Train Loss: 3.1463288448864097, Avg Test Loss: 3.3158943948291597, LR: [0.0003], Time taken: 448.13099085213616
Epoch: 58, Avg Train Loss: 3.1479267489878184, Avg Test Loss: 5.018717302594866, LR: [0.0003], Time taken: 448.3623605570756
Epoch: 59, Avg Train Loss: 3.1494789523856914, Avg Test Loss: 3.453889953522455, LR: [0.00015], Time taken: 448.4954531667754
Epoch: 60, Avg Train Loss: 3.002913063571154, Avg Test Loss: 3.297100714274815, LR: [0.00015], Time taken: 448.3868711316027
Early stopping triggered.
